ID;Strassenname;PLZ;Region
171;Freiberger Str. 56;1723;Wilsdruff
172;Dresdner Str. 16;1689;Weinböhla
173;Am Mart 1;1561;Lampertswalde
174;Gerhart-Hauptmann-Str. 6A;1979;Lauchhammer
175;Meißner Str. 252;1445;Radebeul-West
176;Lindenweg 1;1471;Radeburg
177;Otto-Grotewohl-Str. 19;3222;Lübbenau
178;Meißner Str. 41;1445;Radebeul-Ost
179;Omsewitzer Ring 45;1169;Dresden-Gorbitz
180;Cossebauder Str. 6;1157;Dresden-Cotta
181;Dresdner Str. 112;1705;Freital
182;Berliner Str. 1;1945;Ruhland
183;Gewerbepark Nord 1;3205;Calau
184;Großenhainer Str. 156;1129;Dresden-Trachenberge
185;Ludwig-Kossuth-Str. 49;1109;Dresden-Hellerau
186;Leipziger Str. 76;1127;Dresden-Pieschen
187;Löbtauer Str. 26;1159;Dresden-Friedrichstadt
188;Chemnitzer Str. 68;1187;Dresden-Plauen
189;Budapester Str. 26A;1069;Dresden-Südvorstadt
190;Hansastr. 50;1097;Dresden-Leipziger Vorstadt
191;Schlesischer Platz 1;1097;Dresden-Innere Neustadt
192;Wiener Platz 4;1069;Dresden-Seevorstadt
193;Karl-Marx-Str. 20;1109;Dresden-Klotzsche
194;Grunaer Str. 5;1069;Dresden-Altstadt
195;Königsbrücker Landstr. 303;1108;Dresden-Weixdorf
196;Südhöhe 38;1217;Dresden-Zschertnitz
197;Strehlener Platz 1;1219;Dresden-Strehlen
198;Am Firstenweg 1A;1744;Dippoldiswalde
199;Comeniusplatz 2;1307;Dresden-Striesen
200;Comeniusplatz 2;1309;Dresden
201;Freienhufener Str. 21A;1983;Großräschen
202;Briesker Str. 50;1968;Senftenberg
203;Schandauer Str. 22A;1309;Dresden-Striesen
204;Bodenbacher Str. 62A;1277;Dresden-Seidnitz
205;Weißbacher Str. 28;1936;Königsbrück
206;Georg-Palitzsch-Str. 16;1239;Dresden-Prohlis
207;Bautzner Landstr. 112;1324;Dresden-Bühlau
208;Österreicher Str. 2;1279;Dresden-Laubegast
209;Pirnaer Landstr. 183A;1257;Dresden-Leuben
210;Oberstr. 10;1454;Radeberg
211;Gabelsberger Str. 8;1809;Heidenau
212;Stolpener Str. 14;1477;Arnsdorf
213;Senftenberger Str. 1;2991;Lauta
214;Rathausallee 2A;2994;Bernsdorf
215;Kamenzer Str. 23;1896;Pulsnitz
216;Pulsnitzer Str. 13;1900;Großröhrsdorf
217;Rudolf-Renner-Str. 10;1796;Pirna-Copitz
218;Dresdner Str. 9;1796;Pirna
219;Fichtestr. 2;1917;Kamenz
220;Karl-Liebknecht-Str. 47A;3046;Cottbus-Ströbitz
221;Sielower Landstr. 21;3044;Cottbus-Brunschwig
222;Schulstr. 2A;2977;Hoyerswerda
223;Sielower Landstr. 21;3042;Cottbus
224;Uhlandstr. 12;3050;Cottbus-Sachsendorf
225;Dissenchener Str. 16;3042;Cottbus-Sandow
226;Cottbuser Str. 7A;3185;Peitz
227;Friedrich-List-Str. 2;1877;Bischofswerda
228;Heinrichstr. 17;3130;Spremberg
229;Basteistr. 31;1814;Bad Schandau
230;Wilhelm-Kaulisch-Str. 29;1844;Neustadt/ Sachsen
231;Am Ostbahnhof 5;1904;Neukirch
232;Gartenstr. 1;1855;Sebnitz
233;Neusalzaer Str. 39A;2625;Bautzen
234;Steinstr. 36;2625;Bautzen
235;Aufbaustr. 17;3159;Döbern
236;Spremberger Str. 10;3149;Forst
237;Friedensstr. 77;2943;Boxberg
238;Sprucker Str. 36;3172;Guben
239;Bautzener Str. 31;2943;Weißwasser
