ID;Strassenname;PLZ;Region;latitude;longitude
244;Reichenbacher Str. 53B;02827;Görlitz-Rauschwalde;51.1476255;14.9500211
245;Christoph-Lüders-Str. 32;02826;Görlitz;51.1556444;14.9753095
246;Am Keesboom 4;019258;Boizenburg;53.386634;10.7347366
247;Grüner Weg 1;019249;Lübtheen;53.2969559;11.0836038
248;Am Bahnhof 1;019246;Zarrentin;53.5470315;10.9134575
249;Wölzower Weg 1;019243;Wittenburg;53.50427850000001;11.0833841
250;Lenzener Str. 61;019322;Wittenberge;52.9970995;11.7427697
251;Bentwischer Weg 56;019322;Wittenberge;53.0176032;11.7430455
252;Neu Karstädter Weg 13;019300;Grabow;53.2816837;11.5546498
253;Ratzeburger Chaussee 25;019205;Gadebusch;53.6962594;11.0999279
254;Berliner Str. 35;019348;Perleberg;53.0711613;11.8749713
255;Ludwigsluster Str. 2;019306;Neustadt-Glewe;53.3836257;11.5817561
256;Gletzower Str. 29;019217;Rehna;53.7818601;11.0449695
257;Schweriner Str. 3B;019061;Schwerin-Wüstmark;53.5847815;11.3989055
258;Greifswalder Str. 1;019057;Schwerin-Lankow;53.647214;11.3524932
259;An der Crivitzer Chaussee 16;019061;Schwerin-Dreesch;53.60303709999999;11.4422651
260;Lübecker Str. 225;019059;Schwerin-Weststadt;53.6405991;11.3930422
261;Burgstr. 20-22;019053;Schwerin;53.62872059999999;11.418874
262;Lübecker Str. 225;019055;Schwerin;53.63979450000001;11.392648
263;Ernst-Thälmann-Str. 2;014727;Premnitz;52.5315579;12.3382114
264;H.-Heine Str.;014727;Premnitz;52.5278064;12.3460355
265;Bruno-Baum-Ring 11A;014712;Rathenow;52.60371;12.36121
266;Ludwigsluster Chaussee 30;019370;Parchim;53.42765619999999;11.8267343
267;Weinbergstr. 14;019089;Crivitz;53.5806921;11.6467413
268;Schweriner Chaussee 27;019370;Parchim;53.4377982;11.8487061
269;Kaltenkirchener Siedlung 3;016949;Putlitz;53.2465507;12.0443701
270;Friedrich-Franz-Str. 4;014770;Brandenburg-Altstadt;52.4139087;12.5243694
271;Rostocker Str. 3;016928;Pritzwalk;53.1583114;12.1728871
272;Upstallstr. 22;014772;Brandenburg-Nord;52.4303671;12.542891
273;Potsdamer Str. 23;014776;Brandenburg-Neustadt;52.4048941;12.5719092
274;Brücker Landstr. 5;014806;Bad Belzig;52.1445498;12.609038
275;Perleberger Str. 55;016866;Kyritz;52.95113869999999;12.3788433
276;Ihlenweg 2;016845;Neustadt/ Dosse;52.8575168;12.439452
277;Werderstr. 21B;019386;Lübz;53.46627729999999;12.0235972
278;Emstaler Landstr. 40;014797;Kloster Lehnin;52.3186213;12.7460637
279;Bützower Str. 2-4;019417;Warin;53.8001613;11.7127294
280;Perleberger Str. 42;016909;Wittstock;53.1601371;12.4690025
281;Plauer Chaussee 5;019399;Goldberg;53.5833261;12.0912423
282;Hauptstr. 34/ An der B 192;019399;Goldberg;53.5722761;12.1325419
283;Quetziner Str. 19A;019395;Plau;53.46263;12.265
284;Nauener Str. 9;014669;Ketzin;52.48198799999999;12.845764
285;Berliner Allee 30C;016833;Fehrbellin;52.8094997;12.7766481
286;Berliner Str. 88;014542;Werder;52.3706822;12.9193877
287;Berliner Str. 38/40/42;014641;Nauen;52.6029843;12.8806499
288;Clara-Zetkin-Str. 37A;014547;Beelitz;52.2371321;12.9692729
289;Neustädter Str. 53;016816;Neuruppin;52.9215919;12.7960114
290;Bahnhofstr. 23/25;018246;Bützow;53.8427527;11.9975118
291;Rostocker Str. 11;017213;Malchow;53.4811002;12.4220891
292;Potsdamer Str. 39-42;014469;Potsdam-Bornim;52.4183634;13.0172827
293;Wulkower Chaussee 5;016827;Alt Ruppin;52.945446;12.8494724
294;Wustermarker Allee 16;014656;Brieselang;52.5802247;12.9984702
