RS;GEBIET;EINK_JE_EINW;ANTEIL_ARBEITSLOSE;ANTEIL_ARBEITSLOSE_ALTER_15_24;ANTEIL_ARBEITSLOSE_ALTER_55_64;ANTEIL_LANGZEITARBEITSLOSE;ANTEIL_ARBEITSLOSE_AUSLAENDER;ANZAHL_BEANTR_VERFAHREN;ANZAHL_EROEFFNETE_VERFAHREN;ANZAHL_ABGEW_VERFAHREN;ANZAHL_BEANTR_VERFAHREN_MIT_SCHULDPLAN;ANZAHL_BESCHAEFTIGTE;FORDERUNGEN_TSD_EURO;ANTEIL_SIEDLUNG_VERKEHR;ANTEIL_ERHOLUNGSFLAECHE;ANTEIL_LANDWIRTSCHAFTSFLAECHE;ANTEIL_WALDFLAECHE
094720000000;Bayreuth, Landkreis;20030.0;3.8;9.2;25.5;26.3;3.7;145.0;138.0;7.0;0.0;29.0;28884.0;9.1;0.4;41.2;46.9
094730000000;Coburg, Landkreis;22637.0;4.1;9.6;26.1;24.3;5.5;152.0;146.0;6.0;0.0;193.0;21281.0;12.7;0.8;51.8;31.7
094740000000;Forchheim, Landkreis;21139.0;3.0;11.4;23.4;24.5;8.9;128.0;122.0;6.0;0.0;35.0;19209.0;12.1;0.8;45.9;39.0
094750000000;Hof, Landkreis;19514.0;4.5;9.3;25.2;28.1;6.7;181.0;169.0;12.0;0.0;205.0;31033.0;11.3;0.6;49.8;36.1
094760000000;Kronach, Landkreis;22320.0;4.1;7.9;25.5;21.8;4.8;120.0;115.0;4.0;1.0;50.0;8532.0;9.7;0.5;28.2;58.9
094770000000;Kulmbach, Landkreis;20067.0;4.9;9.0;24.8;29.7;6.6;125.0;121.0;3.0;1.0;280.0;27317.0;11.0;0.5;49.3;37.3
094780000000;Lichtenfels, Landkreis;19774.0;4.3;10.6;26.2;24.0;6.1;120.0;115.0;5.0;0.0;26.0;11280.0;11.3;0.5;45.4;38.3
094790000000;Wunsiedel i.Fichtelgebirge, Landkreis;20210.0;5.8;7.3;25.5;27.8;10.6;168.0;165.0;3.0;0.0;1.0;11766.0;11.2;0.5;38.5;45.9
095610000000;Ansbach;19742.0;4.1;10.5;23.8;24.3;15.5;79.0;72.0;7.0;0.0;8.0;6605.0;22.4;1.4;44.4;28.9
095620000000;Erlangen;22765.0;3.7;8.4;22.8;40.2;21.3;150.0;143.0;6.0;1.0;70.0;12506.0;40.7;3.1;30.7;22.3
095630000000;Fürth;22791.0;6.6;10.1;18.6;30.2;25.9;212.0;193.0;12.0;7.0;56.0;23124.0;46.3;5.3;36.8;12.5
095640000000;Nürnberg;21260.0;7.9;9.9;18.3;35.1;33.6;917.0;828.0;79.0;10.0;2531.0;531073.0;60.5;7.9;18.1;17.0
095650000000;Schwabach;23345.0;4.7;8.3;24.6;31.2;17.7;84.0;80.0;4.0;0.0;44.0;8198.0;33.9;1.8;33.8;28.5
095710000000;Ansbach, Landkreis;20655.0;2.9;11.3;26.1;25.4;9.2;217.0;204.0;12.0;1.0;742.0;66760.0;10.3;0.5;56.9;28.5
095720000000;Erlangen-Höchstadt, Landkreis;23289.0;2.3;9.6;28.5;25.5;9.1;102.0;96.0;4.0;2.0;17.0;18678.0;13.4;0.9;38.0;42.0
095730000000;Fürth, Landkreis;22642.0;3.2;10.0;27.0;26.4;10.4;106.0;99.0;7.0;0.0;89.0;28315.0;17.0;1.2;54.2;25.6
095740000000;Nürnberger Land, Landkreis;23865.0;2.9;10.6;25.8;25.5;11.8;198.0;189.0;7.0;2.0;138.0;64060.0;13.0;0.8;32.0;51.9
095750000000;Neustadt a.d.Aisch-Bad Windsheim, Landkreis;20116.0;2.6;14.1;19.7;20.7;7.3;102.0;91.0;10.0;1.0;145.0;16060.0;9.7;0.4;57.4;29.2
095760000000;Roth, Landkreis;21730.0;2.7;9.9;25.9;25.0;9.0;163.0;148.0;13.0;2.0;223.0;57393.0;11.4;0.5;39.7;44.7
095770000000;Weißenburg-Gunzenhausen, Landkreis;20032.0;3.5;10.0;23.2;22.1;12.8;113.0;105.0;8.0;0.0;41.0;8814.0;10.2;0.6;50.0;34.2
096610000000;Aschaffenburg;22153.0;5.7;8.3;21.0;28.2;26.4;167.0;160.0;7.0;0.0;95.0;15065.0;39.5;7.1;21.9;31.5
096620000000;Schweinfurt;19462.0;6.3;9.0;22.6;37.3;19.5;103.0;95.0;6.0;2.0;80.0;8388.0;54.4;6.4;22.1;16.1
096630000000;Würzburg;22926.0;4.9;6.9;18.7;30.2;20.3;201.0;182.0;19.0;0.0;165.0;34263.0;47.7;5.8;27.1;19.0
