JAHR;RS;GEBIET;EINK_JE_EINW;ANTEIL_ARBEITSLOSE;ANTEIL_ARBEITSLOSE_ALTER_15_24;ANTEIL_ARBEITSLOSE_ALTER_55_64;ANTEIL_LANGZEITARBEITSLOSE;ANTEIL_ARBEITSLOSE_AUSLAENDER;ANZAHL_BEANTR_VERFAHREN;ANZAHL_EROEFFNETE_VERFAHREN;ANZAHL_ABGEW_VERFAHREN;ANZAHL_BEANTR_VERFAHREN_MIT_SCHULDPLAN;ANZAHL_BESCHAEFTIGTE;FORDERUNGEN_TSD_EURO;ANTEIL_SIEDLUNG_VERKEHR;ANTEIL_ERHOLUNGSFLAECHE;ANTEIL_LANDWIRTSCHAFTSFLAECHE;ANTEIL_WALDFLAECHE
2011;010530000000;Herzogtum Lauenburg, Landkreis;21299.0;6.2;11.9;16.0;33.4;11.9;414.0;358.0;48.0;8.0;317.0;47115.0;11.2;0.9;58.3;25.6
2012;010530000000;Herzogtum Lauenburg, Landkreis;21981.0;6.2;11.7;17.3;35.5;12.4;384.0;348.0;32.0;4.0;316.0;62616.0;11.3;0.9;58.2;25.6
2013;010530000000;Herzogtum Lauenburg, Landkreis;21942.0;6.2;12.1;18.2;37.4;12.5;332.0;297.0;29.0;6.0;444.0;55805.0;11.4;0.9;58.2;25.7
2014;010530000000;Herzogtum Lauenburg, Landkreis;22310.0;6.0;11.2;20.2;38.6;13.4;341.0;309.0;29.0;3.0;84.0;62172.0;11.4;0.9;58.1;25.7
2015;010530000000;Herzogtum Lauenburg, Landkreis;22775.0;5.8;11.2;20.2;38.5;15.3;339.0;301.0;28.0;10.0;205.0;64566.0;11.5;0.9;57.9;25.8
2010;010540000000;Nordfriesland, Landkreis;20369.0;7.5;11.6;16.5;37.8;4.8;391.0;347.0;25.0;19.0;273.0;45506.0;10.3;0.6;75.7;4.2
2011;010540000000;Nordfriesland, Landkreis;21211.0;7.5;11.2;17.9;35.5;5.4;392.0;367.0;19.0;6.0;105.0;36579.0;10.4;0.7;77.1;4.2
2012;010540000000;Nordfriesland, Landkreis;21673.0;7.0;9.8;19.9;29.5;5.6;375.0;334.0;24.0;17.0;174.0;50974.0;10.4;0.7;77.0;4.2
2013;010540000000;Nordfriesland, Landkreis;22898.0;6.6;9.8;21.7;37.8;6.1;359.0;318.0;23.0;18.0;115.0;314135.0;10.5;0.7;77.0;4.2
2014;010540000000;Nordfriesland, Landkreis;23200.0;6.4;10.2;22.8;42.8;6.9;393.0;366.0;14.0;13.0;184.0;684780.0;10.5;0.7;76.9;4.2
2015;010540000000;Nordfriesland, Landkreis;23605.0;6.0;10.0;23.5;40.9;8.7;302.0;273.0;14.0;15.0;188.0;341928.0;10.6;0.7;76.9;4.2
2010;010550000000;Ostholstein, Landkreis;19459.0;7.4;10.7;16.9;31.3;6.1;501.0;476.0;17.0;8.0;272.0;63379.0;11.4;1.1;72.3;10.1
2011;010550000000;Ostholstein, Landkreis;20114.0;7.0;9.6;18.9;28.4;6.5;541.0;495.0;36.0;10.0;71.0;90171.0;11.5;1.6;72.3;10.2
2012;010550000000;Ostholstein, Landkreis;20772.0;6.5;10.5;19.7;30.2;6.5;459.0;429.0;25.0;5.0;162.0;51620.0;11.5;1.6;72.3;10.2
2013;010550000000;Ostholstein, Landkreis;21075.0;6.5;10.7;20.2;31.8;6.8;442.0;413.0;26.0;3.0;297.0;59216.0;11.6;1.6;72.2;10.2
2014;010550000000;Ostholstein, Landkreis;21507.0;6.4;10.1;22.0;34.1;6.8;430.0;402.0;26.0;2.0;78.0;37447.0;11.7;1.6;72.1;10.2
2015;010550000000;Ostholstein, Landkreis;22069.0;6.1;9.8;23.5;34.6;8.1;382.0;363.0;16.0;3.0;447.0;100831.0;11.7;1.6;72.0;10.2
2010;010560000000;Pinneberg, Landkreis;21865.0;6.1;12.0;14.6;24.8;17.0;683.0;620.0;51.0;12.0;279.0;88074.0;21.1;2.1;61.6;8.8
2011;010560000000;Pinneberg, Landkreis;22458.0;5.6;10.0;17.0;26.9;17.2;617.0;563.0;45.0;9.0;286.0;117735.0;21.2;2.3;62.1;8.8
