JAHR;RS;GEBIET;EINK_JE_EINW;ANTEIL_ARBEITSLOSE;ANTEIL_ARBEITSLOSE_ALTER_15_24;ANTEIL_ARBEITSLOSE_ALTER_55_64;ANTEIL_LANGZEITARBEITSLOSE;ANTEIL_ARBEITSLOSE_AUSLAENDER;ANZAHL_BEANTR_VERFAHREN;ANZAHL_EROEFFNETE_VERFAHREN;ANZAHL_ABGEW_VERFAHREN;ANZAHL_BEANTR_VERFAHREN_MIT_SCHULDPLAN;ANZAHL_BESCHAEFTIGTE;FORDERUNGEN_TSD_EURO;ANTEIL_SIEDLUNG_VERKEHR;ANTEIL_ERHOLUNGSFLAECHE;ANTEIL_LANDWIRTSCHAFTSFLAECHE;ANTEIL_WALDFLAECHE
2010;057000000000;Detmold, Regierungsbezirk;19799.0;;11.2;15.0;36.9;16.6;4192;3765;376;51;6427;1376809;18.3;1.3;57.5;22.3
2010;057110000000;Bielefeld, Kreisfreie Stadt;19653.0;10.5;11.3;12.5;38.4;26.7;965;891;67;7;895;98236;41.7;4.4;36.0;21.4
2010;057540000000;Gütersloh, Kreis;21403.0;5.4;13.1;14.0;28.6;18.6;594;509;69;16;804;493426;20.9;1.5;62.8;13.7
2010;057580000000;Herford, Kreis;20056.0;7.1;10.6;16.8;36.3;15.5;598;533;56;9;1724;292445;29.6;1.1;60.4;8.5
2010;057620000000;Höxter, Kreis;17780.0;6.2;12.0;17.5;35.3;7.3;177;151;25;1;215;29262;10.3;0.4;58.9;29.4
2010;057660000000;Lippe, Kreis;20462.0;8.4;11.3;15.4;38.6;13.7;870;800;67;3;959;201366;16.6;1.6;51.7;30.4
2010;057700000000;Minden-Lübbecke, Kreis;19564.0;7.3;8.7;17.8;42.2;11.2;601;541;56;4;844;124591;19.4;0.8;65.5;11.4
2010;057740000000;Paderborn, Kreis;18304.0;7.4;11.5;13.9;35.8;13.7;387;340;36;11;986;137483;15.4;1.5;53.6;29.5
2010;059000000000;Arnsberg, Regierungsbezirk;19313.0;;9.6;14.9;41.7;19.4;8941;8063;812;66;9235;1326743;20.1;1.3;36.0;42.0
2010;059110000000;Bochum, Kreisfreie Stadt;17762.0;9.9;9.4;14.2;38.2;18.3;1057;949;106;2;1098;125284;70.6;9.4;20.8;7.2
2010;059130000000;Dortmund, Kreisfreie Stadt;17028.0;13.0;9.2;13.4;45.0;24.2;1578;1454;116;8;1119;148319;59.1;4.2;26.0;13.8
2010;059140000000;Hagen, Kreisfreie Stadt;18237.0;11.5;9.1;13.5;43.9;26.1;491;445;43;3;334;42851;34.7;2.7;19.6;42.1
