AGS_BUND;BUNDESLAND;AGS;GEMEINDE;BEV_INGESAMT;BEV_MAENNLICH;BEV_WEIBLICH;;;;;;
1;Schleswig-Holstein;1053005;Bälau;245;110;135;;;;;;
1;Schleswig-Holstein;1053006;Basedow;651;339;312;;;;;;
1;Schleswig-Holstein;1053007;Basthorst;398;202;196;;;;;;
1;Schleswig-Holstein;1053008;Behlendorf;376;186;190;;;;;;
1;Schleswig-Holstein;1053009;Berkenthin; 2 070; 1 019; 1 051;;;;;;
1;Schleswig-Holstein;1053010;Besenthal;79;43;36;;;;;;
1;Schleswig-Holstein;1053011;Bliestorf;668;320;348;;;;;;
1;Schleswig-Holstein;1053012;Börnsen; 4 286; 2 139; 2 147;;;;;;
1;Schleswig-Holstein;1053013;Borstorf;280;137;143;;;;;;
1;Schleswig-Holstein;1053014;Breitenfelde; 1 867;937;930;;;;;;
1;Schleswig-Holstein;1053015;Bröthen;279;141;138;;;;;;
1;Schleswig-Holstein;1053016;Brunsmark;151;75;76;;;;;;
1;Schleswig-Holstein;1053017;Brunstorf;632;322;310;;;;;;
1;Schleswig-Holstein;1053018;Buchholz;239;114;125;;;;;;
1;Schleswig-Holstein;1053019;Buchhorst;175;83;92;;;;;;
1;Schleswig-Holstein;1053020;Büchen; 5 662; 2 762; 2 900;;;;;;
1;Schleswig-Holstein;1053021;Dahmker;159;85;74;;;;;;
1;Schleswig-Holstein;1053022;Dalldorf;362;182;180;;;;;;
1;Schleswig-Holstein;1053023;Dassendorf; 3 100; 1 553; 1 547;;;;;;
1;Schleswig-Holstein;1053024;Düchelsdorf;158;83;75;;;;;;
1;Schleswig-Holstein;1053025;Duvensee;529;247;282;;;;;;
1;Schleswig-Holstein;1053026;Einhaus;374;180;194;;;;;;
1;Schleswig-Holstein;1053027;Elmenhorst;893;448;445;;;;;;
1;Schleswig-Holstein;1053028;Escheburg; 3 354; 1 665; 1 689;;;;;;
1;Schleswig-Holstein;1053029;Fitzen;332;172;160;;;;;;
1;Schleswig-Holstein;1053030;Fredeburg;40;22;18;;;;;;
1;Schleswig-Holstein;1053031;Fuhlenhagen;284;139;145;;;;;;
1;Schleswig-Holstein;1053032;Geesthacht, Stadt; 28 852; 13 926; 14 926;;;;;;
