Spaltenname;Anzahl Geheimhaltungen;Relative Anzahl Geheimhaltungen;Relative Anzahl Geheimhaltungen von vorhandenen Werten;Anzahl fehlende Werte;Relative Anzahl fehlender Werte
WHG_2_3;0;0.0;0.0;11978;95.49
WHG_2_4;0;0.0;0.0;11978;95.49
WHG_2_5;0;0.0;0.0;11978;95.49
WHG_2_6;0;0.0;0.0;11978;95.49
WHG_2_7;0;0.0;0.0;11978;95.49
WHG_2_8;0;0.0;0.0;11978;95.49
WHG_2_9;0;0.0;0.0;11978;95.49
WHG_2_10;3;0.02;0.53;11978;95.49
WHG_3_1;359;2.86;2.86;0;0.0
WHG_3_2;3102;24.73;24.73;0;0.0
WHG_3_3;3156;25.16;25.16;0;0.0
WHG_3_4;2205;17.58;17.58;0;0.0
WHG_3_5;3076;24.52;24.52;0;0.0
WHG_3_6;3844;30.64;30.64;0;0.0
WHG_3_7;3323;26.49;26.49;0;0.0
WHG_3_8;3346;26.67;26.67;0;0.0
WHG_3_9;3724;29.69;29.69;0;0.0
WHG_3_10;4061;32.37;32.37;0;0.0
WHG_3_11;4909;39.13;39.13;0;0.0
WHG_4_1;359;2.86;2.86;0;0.0
WHG_4_2;2775;22.12;22.12;0;0.0
WHG_4_3;612;4.88;4.88;0;0.0
WHG_4_4;9112;72.64;72.64;0;0.0
WHG_4_5;5367;42.79;42.79;0;0.0
WHG_4_6;7737;61.68;61.68;0;0.0
WHG_4_7;6468;51.56;51.56;0;0.0
WHG_4_8;9695;77.29;77.29;0;0.0
WHG_4_9;6759;53.88;53.88;0;0.0
WHG_5_1;359;2.86;2.86;0;0.0
WHG_5_2;4688;37.37;37.37;0;0.0
WHG_5_3;3967;31.62;31.62;0;0.0
WHG_5_4;5417;43.18;43.18;0;0.0
WHG_5_5;866;6.9;6.9;0;0.0
WHG_5_6;3358;26.77;26.77;0;0.0
WHG_5_7;4774;38.06;38.06;0;0.0
WHG_6_1;359;2.86;2.86;0;0.0
WHG_6_2;950;7.57;7.57;0;0.0
WHG_6_3;2048;16.33;16.33;0;0.0
WHG_6_4;4855;38.7;38.7;0;0.0
WHG_6_5;2655;21.17;21.17;0;0.0
WHG_7_1;359;2.86;2.86;0;0.0
WHG_7_2;4425;35.28;35.28;0;0.0
WHG_7_3;3032;24.17;24.17;0;0.0
WHG_7_4;2835;22.6;22.6;0;0.0
WHG_7_5;2908;23.18;23.18;0;0.0
WHG_7_6;2970;23.68;23.68;0;0.0
WHG_7_7;3089;24.63;24.63;0;0.0
WHG_7_8;3329;26.54;26.54;0;0.0
WHG_7_9;3669;29.25;29.25;0;0.0
WHG_7_10;3825;30.49;30.49;0;0.0
WHG_7_11;3587;28.6;28.6;0;0.0
WHG_8_1;359;2.86;2.86;0;0.0
WHG_8_2;5304;42.28;42.28;0;0.0
WHG_8_3;3455;27.54;27.54;0;0.0
WHG_8_4;2813;22.43;22.43;0;0.0
WHG_8_5;2745;21.88;21.88;0;0.0
WHG_8_6;2834;22.59;22.59;0;0.0
WHG_8_7;2894;23.07;23.07;0;0.0
WHG_8_8;2666;21.25;21.25;0;0.0
WHG_9_1;359;2.86;2.86;0;0.0
WHG_9_2;901;7.18;7.18;0;0.0
WHG_9_3;3207;25.57;25.57;0;0.0
WHG_9_4;3336;26.59;26.59;0;0.0
WHG_9_5;3574;28.49;28.49;0;0.0
